Year,Geography,Code,Name,13 - 17 years (%)
2005,wijken,AA,Haarlemmerbuurt,3.2
2005,wijken,AB,Jordaan,2.3
2005,wijken,AC,Grachtengordel-West,1.6
2005,wijken,AD,Burgwallen-Nieuwe Zijde,1
2005,wijken,AE,Burgwallen-Oude Zijde,1.8
2005,wijken,AF,Nieuwmarkt/Lastage,2.5
2005,wijken,AG,Grachtengordel-Zuid,1.8
2005,wijken,AH,De Weteringschans,2.1
2005,wijken,AJ,Weesperbuurt/Plantage,2.2
2005,wijken,AK,Oostelijke Eilanden/Kadijken,5.1
2005,wijken,EA,Sloterdijk-West,0
2005,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,4.9
2005,wijken,EC,Houthavens,2.3
2005,wijken,ED,De Kolenkit,7.9
2005,wijken,EE,Landlust,4.7
2005,wijken,EF,Erasmuspark,3.8
2005,wijken,EG,Centrale Markt,5
2005,wijken,EH,Staatsliedenbuurt,3.2
2005,wijken,EJ,Frederik Hendrikbuurt,2.3
2005,wijken,EK,Van Galenbuurt,3.3
2005,wijken,EL,Geuzenbuurt,2.4
2005,wijken,EM,Hoofdweg e.o.,2.9
2005,wijken,EN,Chassébuurt,5.9
2005,wijken,EP,Bellamybuurt,2.5
2005,wijken,EQ,Da Costabuurt,2.8
2005,wijken,ER,Westindische Buurt,3.1
2005,wijken,ES,Van Lennepbuurt,3.5
2005,wijken,ET,Overtoomse Sluis,2.2
2005,wijken,EU,Helmersbuurt,2.7
2005,wijken,EV,Vondelparkbuurt,3.3
2005,wijken,FA,Sloterdijk Nieuw-West,2.9
2005,wijken,FB,Geuzenveld,7.7
2005,wijken,FC,Slotermeer-West,7.3
2005,wijken,FD,Slotermeer-Noordoost,5.7
2005,wijken,FE,Slotermeer-Zuidoost,3.4
2005,wijken,FF,Lutkemeer/Ookmeer,7.2
2005,wijken,FG,De Aker,7.2
2005,wijken,FH,De Punt,5.2
2005,wijken,FJ,Osdorp-Midden,7
2005,wijken,FK,Osdorp-Oost,5
2005,wijken,FL,Slotervaart-Noord,5.7
2005,wijken,FM,Overtoomse Veld,9.2
2005,wijken,FN,Slotervaart-Zuid,6.3
2005,wijken,FP,Westlandgracht,4.6
2005,wijken,FQ,Sloten/Nieuw-Sloten,6.8
2005,wijken,KA,Hoofddorppleinbuurt,2.3
2005,wijken,KB,Schinkelbuurt,2.5
2005,wijken,KC,Willemspark,3.8
2005,wijken,KD,Museumkwartier,3.3
2005,wijken,KE,Oude Pijp,2.2
2005,wijken,KF,Nieuwe Pijp,2.6
2005,wijken,KG,Zuid Pijp,4.9
2005,wijken,KH,Stadionbuurt,3.3
2005,wijken,KJ,Apollobuurt,4
2005,wijken,KK,Scheldebuurt,2.8
2005,wijken,KL,IJselbuurt,3.4
2005,wijken,KM,Rijnbuurt,2.9
2005,wijken,KN,Prinses Irenebuurt e.o.,3.5
2005,wijken,KP,Zuidas,2.7
2005,wijken,KQ,Buitenveldert-West,3.3
2005,wijken,KR,Buitenveldert-Oost,2.1
2005,wijken,MA,Oostelijk Havengebied,4.3
2005,wijken,MB,Weesperzijde,3.4
