Year,Geography,Code,Name,66 + years (%)
2005,wijken,AA,Haarlemmerbuurt,7.7
2005,wijken,AB,Jordaan,8.6
2005,wijken,AC,Grachtengordel-West,5.6
2005,wijken,AD,Burgwallen-Nieuwe Zijde,4.3
2005,wijken,AE,Burgwallen-Oude Zijde,5.1
2005,wijken,AF,Nieuwmarkt/Lastage,8.1
2005,wijken,AG,Grachtengordel-Zuid,7.9
2005,wijken,AH,De Weteringschans,6
2005,wijken,AJ,Weesperbuurt/Plantage,15.2
2005,wijken,AK,Oostelijke Eilanden/Kadijken,5.3
2005,wijken,EA,Sloterdijk-West,9.6
2005,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,8.4
2005,wijken,EC,Houthavens,3
2005,wijken,ED,De Kolenkit,6.4
2005,wijken,EE,Landlust,6.9
2005,wijken,EF,Erasmuspark,7.2
2005,wijken,EG,Centrale Markt,5.5
2005,wijken,EH,Staatsliedenbuurt,5.3
2005,wijken,EJ,Frederik Hendrikbuurt,8.3
2005,wijken,EK,Van Galenbuurt,7.4
2005,wijken,EL,Geuzenbuurt,7
2005,wijken,EM,Hoofdweg e.o.,8.1
2005,wijken,EN,Chassébuurt,6.6
2005,wijken,EP,Bellamybuurt,6.1
2005,wijken,EQ,Da Costabuurt,7.7
2005,wijken,ER,Westindische Buurt,7.7
2005,wijken,ES,Van Lennepbuurt,8.1
2005,wijken,ET,Overtoomse Sluis,5.4
2005,wijken,EU,Helmersbuurt,6.2
2005,wijken,EV,Vondelparkbuurt,11.2
2005,wijken,FA,Sloterdijk Nieuw-West,7.2
2005,wijken,FB,Geuzenveld,12.4
2005,wijken,FC,Slotermeer-West,12.6
2005,wijken,FD,Slotermeer-Noordoost,12
2005,wijken,FE,Slotermeer-Zuidoost,17.5
2005,wijken,FF,Lutkemeer/Ookmeer,9.1
2005,wijken,FG,De Aker,6.4
2005,wijken,FH,De Punt,19.8
2005,wijken,FJ,Osdorp-Midden,13.4
2005,wijken,FK,Osdorp-Oost,25.1
2005,wijken,FL,Slotervaart-Noord,16.4
2005,wijken,FM,Overtoomse Veld,10.7
2005,wijken,FN,Slotervaart-Zuid,21.5
2005,wijken,FP,Westlandgracht,11.8
2005,wijken,FQ,Sloten/Nieuw-Sloten,8.4
2005,wijken,KA,Hoofddorppleinbuurt,9
2005,wijken,KB,Schinkelbuurt,9.6
2005,wijken,KC,Willemspark,8.7
2005,wijken,KD,Museumkwartier,10.8
2005,wijken,KE,Oude Pijp,5.1
2005,wijken,KF,Nieuwe Pijp,8.9
2005,wijken,KG,Zuid Pijp,9.9
2005,wijken,KH,Stadionbuurt,12.4
2005,wijken,KJ,Apollobuurt,14.5
2005,wijken,KK,Scheldebuurt,13.6
2005,wijken,KL,IJselbuurt,9.5
2005,wijken,KM,Rijnbuurt,12.2
2005,wijken,KN,Prinses Irenebuurt e.o.,24.8
2005,wijken,KP,Zuidas,1.4
2005,wijken,KQ,Buitenveldert-West,28.4
2005,wijken,KR,Buitenveldert-Oost,34.5
2005,wijken,MA,Oostelijk Havengebied,2.9
2005,wijken,MB,Weesperzijde,5.3
2005,wijken,MC,Oosterparkbuurt,6.4
2005,wijken,MD,Transvaalbuurt,5
2005,wijken,ME,Dapperbuurt,8.4
2005,wijken,MF,Indische Buurt-West,5.9
2005,wijken,MG,Indische Buurt-Oost,9.1
2005,wijken,MH,Zeeburgereiland/Bovendiep,2.5
2005,wijken,MJ,IJburg-West,0.9
2005,wijken,MK,IJburg-Oost,
2005,wijken,ML,IJburg-Zuid,
2005,wijken,MM,Frankendael,16.8
2005,wijken,MN,Middenmeer,11.8
2005,wijken,MP,Betondorp,29.2
2005,wijken,MQ,Omval/Overamstel,4.3
2005,wijken,NB,Noordelijke IJ-oevers-West,5.7
2005,wijken,NC,Tuindorp Oostzaan,20.4
2005,wijken,ND,Kadoelen,14.2
2005,wijken,NE,Banne Buiksloot,14.4
2005,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,8.1
2005,wijken,NG,Elzenhagen,11
2005,wijken,NH,Buikslotermeer,22.6
2005,wijken,NJ,Waterlandpleinbuurt,12.1
2005,wijken,NK,Volewijck,12.1
2005,wijken,NL,IJplein/Vogelbuurt,7.6
2005,wijken,NM,Tuindorp Buiksloot,19
2005,wijken,NN,Tuindorp Nieuwendam,23.8
2005,wijken,NP,Noordelijke IJ-oevers-Oost,9.4
2005,wijken,NQ,Waterland,13.7
2005,wijken,SA,Driemond,12.2
2005,wijken,TA,Amstel III/Bullewijk,2.7
2005,wijken,TB,Venserpolder,8.1
2005,wijken,TC,Amsterdamse Poort e.o.,2.3
2005,wijken,TD,H-buurt,3.2
2005,wijken,TE,Ganzenhoef e.o.,2.3
2005,wijken,TF,Geerdinkhof/Kantershof,20.2
2005,wijken,TG,Bijlmermuseum,4.4
2005,wijken,TH,K-buurt,12.3
2005,wijken,TJ,Holendrecht,11.2
2005,wijken,TK,Nellestein,18
2005,wijken,TL,Reigersbos,9.4
2005,wijken,TM,Gein,6
2006,wijken,AA,Haarlemmerbuurt,7.4
2006,wijken,AB,Jordaan,8.7
2006,wijken,AC,Grachtengordel-West,5.8
2006,wijken,AD,Burgwallen-Nieuwe Zijde,4
2006,wijken,AE,Burgwallen-Oude Zijde,5.2
2006,wijken,AF,Nieuwmarkt/Lastage,8.2
2006,wijken,AG,Grachtengordel-Zuid,8.5
2006,wijken,AH,De Weteringschans,6.3
2006,wijken,AJ,Weesperbuurt/Plantage,15
2006,wijken,AK,Oostelijke Eilanden/Kadijken,5.5
2006,wijken,EA,Sloterdijk-West,9.4
2006,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,8.4
2006,wijken,EC,Houthavens,1.6
2006,wijken,ED,De Kolenkit,6.8
2006,wijken,EE,Landlust,6.7
2006,wijken,EF,Erasmuspark,7
2006,wijken,EG,Centrale Markt,5.3
2006,wijken,EH,Staatsliedenbuurt,5.5
2006,wijken,EJ,Frederik Hendrikbuurt,8.5
2006,wijken,EK,Van Galenbuurt,7.3
2006,wijken,EL,Geuzenbuurt,7
2006,wijken,EM,Hoofdweg e.o.,8.1
2006,wijken,EN,Chassébuurt,6.7
2006,wijken,EP,Bellamybuurt,6.4
2006,wijken,EQ,Da Costabuurt,8
