Year,Geography,Code,Name,Appearance living environment (1-10)
2005,wijken,AA,Haarlemmerbuurt,7.4
2005,wijken,AB,Jordaan,7.2
2005,wijken,AC,Grachtengordel-West,7.9
2005,wijken,AD,Burgwallen-Nieuwe Zijde,6.5
2005,wijken,AE,Burgwallen-Oude Zijde,6.3
2005,wijken,AF,Nieuwmarkt/Lastage,7.3
2005,wijken,AG,Grachtengordel-Zuid,7.5
2005,wijken,AH,De Weteringschans,7
2005,wijken,AJ,Weesperbuurt/Plantage,7.2
2005,wijken,AK,Oostelijke Eilanden/Kadijken,7
2005,wijken,EA,Sloterdijk-West,
2005,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,6.2
2005,wijken,EC,Houthavens,6.1
2005,wijken,ED,De Kolenkit,5.6
2005,wijken,EE,Landlust,6
2005,wijken,EF,Erasmuspark,6.3
2005,wijken,EG,Centrale Markt,7.2
2005,wijken,EH,Staatsliedenbuurt,6.7
2005,wijken,EJ,Frederik Hendrikbuurt,6.5
2005,wijken,EK,Van Galenbuurt,6.3
2005,wijken,EL,Geuzenbuurt,6.5
2005,wijken,EM,Hoofdweg e.o.,6.2
2005,wijken,EN,Chassébuurt,5.8
2005,wijken,EP,Bellamybuurt,6.2
2005,wijken,EQ,Da Costabuurt,6.7
2005,wijken,ER,Westindische Buurt,6.6
2005,wijken,ES,Van Lennepbuurt,6.5
2005,wijken,ET,Overtoomse Sluis,7
2005,wijken,EU,Helmersbuurt,7.2
2005,wijken,EV,Vondelparkbuurt,7.6
2005,wijken,FA,Sloterdijk Nieuw-West,
2005,wijken,FB,Geuzenveld,
2005,wijken,FC,Slotermeer-West,
2005,wijken,FD,Slotermeer-Noordoost,6.4
2005,wijken,FE,Slotermeer-Zuidoost,
2005,wijken,FF,Lutkemeer/Ookmeer,
2005,wijken,FG,De Aker,6.6
2005,wijken,FH,De Punt,6.5
2005,wijken,FJ,Osdorp-Midden,6.1
2005,wijken,FK,Osdorp-Oost,6.8
2005,wijken,FL,Slotervaart-Noord,6.9
2005,wijken,FM,Overtoomse Veld,5.8
2005,wijken,FN,Slotervaart-Zuid,6.6
2005,wijken,FP,Westlandgracht,6.2
2005,wijken,FQ,Sloten/Nieuw-Sloten,7.3
2005,wijken,KA,Hoofddorppleinbuurt,6.8
2005,wijken,KB,Schinkelbuurt,6.7
2005,wijken,KC,Willemspark,7.8
2005,wijken,KD,Museumkwartier,7.9
2005,wijken,KE,Oude Pijp,6.6
2005,wijken,KF,Nieuwe Pijp,6.7
2005,wijken,KG,Zuid Pijp,6.7
2005,wijken,KH,Stadionbuurt,7.1
2005,wijken,KJ,Apollobuurt,8
2005,wijken,KK,Scheldebuurt,7.4
2005,wijken,KL,IJselbuurt,6.9
