Year,Geography,Code,Name,Area total (ha)
2014,wijken,AA,Haarlemmerbuurt,81
2014,wijken,AB,Jordaan,95
2014,wijken,AC,Grachtengordel-West,57
2014,wijken,AD,Burgwallen-Nieuwe Zijde,73
2014,wijken,AE,Burgwallen-Oude Zijde,40
2014,wijken,AF,Nieuwmarkt/Lastage,107
2014,wijken,AG,Grachtengordel-Zuid,64
2014,wijken,AH,De Weteringschans,65
2014,wijken,AJ,Weesperbuurt/Plantage,92
2014,wijken,AK,Oostelijke Eilanden/Kadijken,130
2014,wijken,BA,Havens-West,
2014,wijken,BB,Coenhaven/Minervahaven,
2014,wijken,EA,Sloterdijk-West,121
2014,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,141
2014,wijken,EC,Houthavens,92
2014,wijken,ED,De Kolenkit,74
2014,wijken,EE,Landlust,109
2014,wijken,EF,Erasmuspark,41
2014,wijken,EG,Centrale Markt,57
2014,wijken,EH,Staatsliedenbuurt,53
2014,wijken,EJ,Frederik Hendrikbuurt,42
2014,wijken,EK,Van Galenbuurt,29
2014,wijken,EL,Geuzenbuurt,29
2014,wijken,EM,Hoofdweg e.o.,42
2014,wijken,EN,Chassébuurt,28
2014,wijken,EP,Bellamybuurt,27
2014,wijken,EQ,Da Costabuurt,26
2014,wijken,ER,Westindische Buurt,35
2014,wijken,ES,Van Lennepbuurt,29
2014,wijken,ET,Overtoomse Sluis,31
2014,wijken,EU,Helmersbuurt,35
2014,wijken,EV,Vondelparkbuurt,22
2014,wijken,FA,Sloterdijk Nieuw-West,770
2014,wijken,FB,Geuzenveld,383
2014,wijken,FC,Slotermeer-West,91
2014,wijken,FD,Slotermeer-Noordoost,102
2014,wijken,FE,Slotermeer-Zuidoost,189
2014,wijken,FF,Lutkemeer/Ookmeer,569
2014,wijken,FG,De Aker,164
2014,wijken,FH,De Punt,60
2014,wijken,FJ,Osdorp-Midden,112
2014,wijken,FK,Osdorp-Oost,177
2014,wijken,FL,Slotervaart-Noord,155
2014,wijken,FM,Overtoomse Veld,154
2014,wijken,FN,Slotervaart-Zuid,131
2014,wijken,FP,Westlandgracht,150
2014,wijken,FQ,Sloten/Nieuw-Sloten,594
2014,wijken,KA,Hoofddorppleinbuurt,96
2014,wijken,KB,Schinkelbuurt,35
2014,wijken,KC,Willemspark,70
2014,wijken,KD,Museumkwartier,139
2014,wijken,KE,Oude Pijp,68
2014,wijken,KF,Nieuwe Pijp,54
2014,wijken,KG,Zuid Pijp,39
2014,wijken,KH,Stadionbuurt,107
2014,wijken,KJ,Apollobuurt,94
2014,wijken,KK,Scheldebuurt,101
2014,wijken,KL,IJselbuurt,29
2014,wijken,KM,Rijnbuurt,110
2014,wijken,KN,Prinses Irenebuurt e.o.,43
2014,wijken,KP,Zuidas,217
2014,wijken,KQ,Buitenveldert-West,355
2014,wijken,KR,Buitenveldert-Oost,170
2014,wijken,MA,Oostelijk Havengebied,381
2014,wijken,MB,Weesperzijde,45
2014,wijken,MC,Oosterparkbuurt,75
2014,wijken,MD,Transvaalbuurt,38
2014,wijken,ME,Dapperbuurt,61
2014,wijken,MF,Indische Buurt-West,48
2014,wijken,MG,Indische Buurt-Oost,129
2014,wijken,MH,Zeeburgereiland/Bovendiep,463
2014,wijken,MJ,IJburg-West,322
2014,wijken,MK,IJburg-Oost,499
2014,wijken,ML,IJburg-Zuid,96
2014,wijken,MM,Frankendael,167
2014,wijken,MN,Middenmeer,302
2014,wijken,MP,Betondorp,113
2014,wijken,MQ,Omval/Overamstel,320
2014,wijken,NA,Oostzanerwerf,
2014,wijken,NB,Noordelijke IJ-oevers-West,405
2014,wijken,NC,Tuindorp Oostzaan,170
2014,wijken,ND,Kadoelen,150
2014,wijken,NE,Banne Buiksloot,183
2014,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,43
2014,wijken,NG,Elzenhagen,86
2014,wijken,NH,Buikslotermeer,155
2014,wijken,NJ,Waterlandpleinbuurt,151
2014,wijken,NK,Volewijck,131
2014,wijken,NL,IJplein/Vogelbuurt,145
2014,wijken,NM,Tuindorp Buiksloot,17
2014,wijken,NN,Tuindorp Nieuwendam,47
2014,wijken,NP,Noordelijke IJ-oevers-Oost,111
2014,wijken,NQ,Waterland,4255
