Year,Geography,Code,Name,Green spaces (1-10)
2019,wijken,AA,Haarlemmerbuurt,6.2
2019,wijken,AB,Jordaan,6
2019,wijken,AC,Grachtengordel-West,5.8
2019,wijken,AD,Burgwallen-Nieuwe Zijde,4.3
2019,wijken,AE,Burgwallen-Oude Zijde,3.9
2019,wijken,AF,Nieuwmarkt/Lastage,5.7
2019,wijken,AG,Grachtengordel-Zuid,5.7
2019,wijken,AH,De Weteringschans,6.8
2019,wijken,AJ,Weesperbuurt/Plantage,6.7
2019,wijken,AK,Oostelijke Eilanden/Kadijken,6.9
2019,wijken,BA,Havens-West,
2019,wijken,BB,Coenhaven/Minervahaven,
2019,wijken,EA,Sloterdijk-West,
2019,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,6.9
2019,wijken,EC,Houthavens,6.2
2019,wijken,ED,De Kolenkit,6.6
2019,wijken,EE,Landlust,6.7
2019,wijken,EF,Erasmuspark,7.3
2019,wijken,EG,Centrale Markt,7.7
2019,wijken,EH,Staatsliedenbuurt,7
2019,wijken,EJ,Frederik Hendrikbuurt,6.6
2019,wijken,EK,Van Galenbuurt,7.1
2019,wijken,EL,Geuzenbuurt,6.9
2019,wijken,EM,Hoofdweg e.o.,7.1
2019,wijken,EN,Chassébuurt,6.2
2019,wijken,EP,Bellamybuurt,6.5
2019,wijken,EQ,Da Costabuurt,6.2
2019,wijken,ER,Westindische Buurt,7.3
2019,wijken,ES,Van Lennepbuurt,6.2
2019,wijken,ET,Overtoomse Sluis,7.2
2019,wijken,EU,Helmersbuurt,6.9
2019,wijken,EV,Vondelparkbuurt,7.6
2019,wijken,FA,Sloterdijk Nieuw-West,
2019,wijken,FB,Geuzenveld,7
2019,wijken,FC,Slotermeer-West,6.9
2019,wijken,FD,Slotermeer-Noordoost,6.9
2019,wijken,FE,Slotermeer-Zuidoost,7.5
2019,wijken,FF,Lutkemeer/Ookmeer,
2019,wijken,FG,De Aker,7.1
2019,wijken,FH,De Punt,7
2019,wijken,FJ,Osdorp-Midden,7.1
2019,wijken,FK,Osdorp-Oost,7.4
2019,wijken,FL,Slotervaart-Noord,7.7
2019,wijken,FM,Overtoomse Veld,6.9
2019,wijken,FN,Slotervaart-Zuid,6.9
2019,wijken,FP,Westlandgracht,6.4
2019,wijken,FQ,Sloten/Nieuw-Sloten,7.6
2019,wijken,KA,Hoofddorppleinbuurt,7.1
2019,wijken,KB,Schinkelbuurt,6.7
2019,wijken,KC,Willemspark,7.5
2019,wijken,KD,Museumkwartier,7.4
2019,wijken,KE,Oude Pijp,6.6
2019,wijken,KF,Nieuwe Pijp,6.3
2019,wijken,KG,Zuid Pijp,6.5
2019,wijken,KH,Stadionbuurt,7.2
2019,wijken,KJ,Apollobuurt,7.6
2019,wijken,KK,Scheldebuurt,7.3
2019,wijken,KL,IJselbuurt,7
