Year,Geography,Code,Name,Population
2005,wijken,AA,Haarlemmerbuurt,7174
2005,wijken,AB,Jordaan,18772
2005,wijken,AC,Grachtengordel-West,7804
2005,wijken,AD,Burgwallen-Nieuwe Zijde,3361
2005,wijken,AE,Burgwallen-Oude Zijde,3684
2005,wijken,AF,Nieuwmarkt/Lastage,8819
2005,wijken,AG,Grachtengordel-Zuid,5123
2005,wijken,AH,De Weteringschans,6855
2005,wijken,AJ,Weesperbuurt/Plantage,7829
2005,wijken,AK,Oostelijke Eilanden/Kadijken,11852
2005,wijken,EA,Sloterdijk-West,115
2005,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,10459
2005,wijken,EC,Houthavens,1049
2005,wijken,ED,De Kolenkit,7350
2005,wijken,EE,Landlust,18181
2005,wijken,EF,Erasmuspark,5371
2005,wijken,EG,Centrale Markt,2296
2005,wijken,EH,Staatsliedenbuurt,12120
2005,wijken,EJ,Frederik Hendrikbuurt,7625
2005,wijken,EK,Van Galenbuurt,5656
2005,wijken,EL,Geuzenbuurt,6294
2005,wijken,EM,Hoofdweg e.o.,10220
2005,wijken,EN,Chassébuurt,5841
2005,wijken,EP,Bellamybuurt,5224
2005,wijken,EQ,Da Costabuurt,4314
2005,wijken,ER,Westindische Buurt,6461
2005,wijken,ES,Van Lennepbuurt,6632
2005,wijken,ET,Overtoomse Sluis,7157
2005,wijken,EU,Helmersbuurt,6773
2005,wijken,EV,Vondelparkbuurt,1740
2005,wijken,FA,Sloterdijk Nieuw-West,69
2005,wijken,FB,Geuzenveld,15685
2005,wijken,FC,Slotermeer-West,10435
2005,wijken,FD,Slotermeer-Noordoost,9010
2005,wijken,FE,Slotermeer-Zuidoost,5756
2005,wijken,FF,Lutkemeer/Ookmeer,875
2005,wijken,FG,De Aker,14272
2005,wijken,FH,De Punt,4850
2005,wijken,FJ,Osdorp-Midden,9659
2005,wijken,FK,Osdorp-Oost,14418
2005,wijken,FL,Slotervaart-Noord,7612
2005,wijken,FM,Overtoomse Veld,9617
2005,wijken,FN,Slotervaart-Zuid,8445
2005,wijken,FP,Westlandgracht,5490
2005,wijken,FQ,Sloten/Nieuw-Sloten,14070
2005,wijken,KA,Hoofddorppleinbuurt,10771
2005,wijken,KB,Schinkelbuurt,3786
2005,wijken,KC,Willemspark,5125
2005,wijken,KD,Museumkwartier,12673
2005,wijken,KE,Oude Pijp,13840
2005,wijken,KF,Nieuwe Pijp,11448
2005,wijken,KG,Zuid Pijp,8231
2005,wijken,KH,Stadionbuurt,9726
2005,wijken,KJ,Apollobuurt,8096
2005,wijken,KK,Scheldebuurt,13237
2005,wijken,KL,IJselbuurt,5166
2005,wijken,KM,Rijnbuurt,8575
2005,wijken,KN,Prinses Irenebuurt e.o.,1123
2005,wijken,KP,Zuidas,74
2005,wijken,KQ,Buitenveldert-West,11692
2005,wijken,KR,Buitenveldert-Oost,7174
2005,wijken,MA,Oostelijk Havengebied,16524
2005,wijken,MB,Weesperzijde,4501
2005,wijken,MC,Oosterparkbuurt,10631
2005,wijken,MD,Transvaalbuurt,9664
2005,wijken,ME,Dapperbuurt,8441
2005,wijken,MF,Indische Buurt-West,12749
2005,wijken,MG,Indische Buurt-Oost,10712
2005,wijken,MH,Zeeburgereiland/Bovendiep,568
2005,wijken,MJ,IJburg-West,1650
2005,wijken,MK,IJburg-Oost,
2005,wijken,ML,IJburg-Zuid,
2005,wijken,MM,Frankendael,9423
2005,wijken,MN,Middenmeer,11890
2005,wijken,MP,Betondorp,3094
2005,wijken,MQ,Omval/Overamstel,1035
2005,wijken,NB,Noordelijke IJ-oevers-West,314
2005,wijken,NC,Tuindorp Oostzaan,9305
2005,wijken,ND,Kadoelen,2853
2005,wijken,NE,Banne Buiksloot,13812
2005,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,1576
2005,wijken,NG,Elzenhagen,1107
2005,wijken,NH,Buikslotermeer,10694
2005,wijken,NJ,Waterlandpleinbuurt,13423
2005,wijken,NK,Volewijck,10166
2005,wijken,NL,IJplein/Vogelbuurt,8247
2005,wijken,NM,Tuindorp Buiksloot,1928
2005,wijken,NN,Tuindorp Nieuwendam,3420
2005,wijken,NP,Noordelijke IJ-oevers-Oost,149
2005,wijken,NQ,Waterland,2085
2005,wijken,SA,Driemond,1504
2005,wijken,TA,Amstel III/Bullewijk,110
2005,wijken,TB,Venserpolder,8063
2005,wijken,TC,Amsterdamse Poort e.o.,6867
2005,wijken,TD,H-buurt,7023
2005,wijken,TE,Ganzenhoef e.o.,7416
2005,wijken,TF,Geerdinkhof/Kantershof,4831
2005,wijken,TG,Bijlmermuseum,7043
2005,wijken,TH,K-buurt,4341
2005,wijken,TJ,Holendrecht,9723
2005,wijken,TK,Nellestein,2724
2005,wijken,TL,Reigersbos,8643
2005,wijken,TM,Gein,12262
2006,wijken,AA,Haarlemmerbuurt,7127
2006,wijken,AB,Jordaan,18882
2006,wijken,AC,Grachtengordel-West,7862
2006,wijken,AD,Burgwallen-Nieuwe Zijde,3471
2006,wijken,AE,Burgwallen-Oude Zijde,3737
2006,wijken,AF,Nieuwmarkt/Lastage,8812
2006,wijken,AG,Grachtengordel-Zuid,5147
2006,wijken,AH,De Weteringschans,6883
2006,wijken,AJ,Weesperbuurt/Plantage,7704
2006,wijken,AK,Oostelijke Eilanden/Kadijken,12379
2006,wijken,EA,Sloterdijk-West,128
2006,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,10327
2006,wijken,EC,Houthavens,1702
2006,wijken,ED,De Kolenkit,6846
2006,wijken,EE,Landlust,18326
2006,wijken,EF,Erasmuspark,5177
2006,wijken,EG,Centrale Markt,2363
